timestamp_ms,phys_footprint,phys_footprint_peak
6525761,9833545728,24696061952
6531656,10086252544,24696061952
6537563,10335813632,24696061952
6543448,10387193856,24696061952
6549331,10737418240,24696061952
6555177,10737418240,24696061952
6561082,11811160064,24696061952
6566920,8694792192,24696061952
6572823,8868855808,24696061952
6578675,9025093632,24696061952
6584535,9394192384,24696061952
6590465,9516875776,24696061952
6596316,9675210752,24696061952
6602171,10222567424,24696061952
6608024,10415505408,24696061952
6613902,10737418240,24696061952
6619752,10737418240,24696061952
6625600,10737418240,24696061952
6631448,11811160064,24696061952
6637291,9772728320,24696061952
6643210,8836349952,24696061952
6649141,9075425280,24696061952
6655034,9634316288,24696061952
6660910,9673113600,24696061952
6666785,9913237504,24696061952
6672699,10453254144,24696061952
6678588,10737418240,24696061952
6684461,10737418240,24696061952
6690369,10737418240,24696061952
6696179,11811160064,24696061952
6702042,9318694912,24696061952
6707926,9009364992,24696061952
6713826,9304014848,24696061952
6719719,9661579264,24696061952
6725648,9892265984,24696061952
6731507,10306453504,24696061952
6737350,10737418240,24696061952
6743156,10737418240,24696061952
6748991,10737418240,24696061952
6754898,11811160064,24696061952
6760755,11811160064,24696061952
6766600,8983150592,24696061952
6772455,9018802176,24696061952
6778299,9215934464,24696061952
6784141,9667870720,24696061952
6790050,9881780224,24696061952
6795916,10737418240,24696061952
6801773,10737418240,24696061952
6807576,10737418240,24696061952
6813440,10737418240,24696061952
6819284,11811160064,24696061952
6825168,11811160064,24696061952
6831009,11811160064,24696061952
6836910,8806989824,24696061952
6842798,8816427008,24696061952
6848707,9163505664,24696061952
6854617,9381609472,24696061952
6860453,9618587648,24696061952
6866322,9704570880,24696061952
6872167,10182721536,24696061952
6878002,10462691328,24696061952
6883863,10737418240,24696061952
6889698,10737418240,24696061952
6895596,11811160064,24696061952
6901478,11811160064,24696061952
6907298,9305063424,24696061952
6913150,9517924352,24696061952
6919096,9845080064,24696061952
6924946,10274996224,24696061952
6930779,10460594176,24696061952
6936612,10414456832,24696061952
6942437,10737418240,24696061952
6948307,10737418240,24696061952
6954191,11811160064,24696061952
6960072,11811160064,24696061952
6965953,11811160064,24696061952
6971808,11811160064,24696061952
6977677,12884901888,24696061952
6983541,12884901888,24696061952
6989400,9425649664,24696061952
6995289,9064939520,24696061952
7001141,9401532416,24696061952
7007034,9604956160,24696061952
7012900,9861857280,24696061952
7018759,10737418240,24696061952
7024595,10385096704,24696061952
7030395,10737418240,24696061952
7036276,10737418240,24696061952
7042179,10737418240,24696061952
7048047,11811160064,24696061952
7053870,11811160064,24696061952
7059736,10737418240,24696061952
7065718,9010413568,24696061952
7071637,9226420224,24696061952
7077531,9614393344,24696061952
7083395,9803137024,24696061952
7089324,10357833728,24696061952
7095232,10737418240,24696061952
7101064,10737418240,24696061952
7106959,10737418240,24696061952
7112862,11811160064,24696061952
7118713,11811160064,24696061952
7124531,11811160064,24696061952
7130353,11811160064,24696061952
7136227,12884901888,24696061952
7142089,8930721792,24696061952
7148033,9041870848,24696061952
7153953,9247391744,24696061952
7159857,9521070080,24696061952
7165819,9644802048,24696061952
7171677,9869197312,24696061952
7177561,10373562368,24696061952
7183443,10737418240,24696061952
7189310,10737418240,24696061952
7195214,10737418240,24696061952
7201113,10737418240,24696061952
7206969,11811160064,24696061952
7212873,8937013248,24696061952
7218803,8944353280,24696061952
7224738,9158262784,24696061952
7230598,9652142080,24696061952
7236544,9905897472,24696061952
7242476,10737418240,24696061952
7248362,10737418240,24696061952
7254270,10737418240,24696061952
7260214,11811160064,24696061952
7266105,11811160064,24696061952
7271985,11811160064,24696061952
7277884,12884901888,24696061952
7283777,8934916096,24696061952
7289699,9271508992,24696061952
7295669,9443475456,24696061952
7301629,9786359808,24696061952
7307551,10174332928,24696061952
7313471,10737418240,24696061952
7319376,10737418240,24696061952
7325268,11811160064,24696061952
7331103,11811160064,24696061952
7337003,11811160064,24696061952
7342854,12884901888,24696061952
7348759,10449059840,24696061952
7354799,9145679872,24696061952
7360729,9373220864,24696061952
7366656,9720299520,24696061952
7372516,10271850496,24696061952
7378446,10737418240,24696061952
7384332,10737418240,24696061952
7390240,11811160064,24696061952
7396137,11811160064,24696061952
7402071,11811160064,24696061952
7407998,11811160064,24696061952
7413863,12884901888,24696061952
7419791,12884901888,24696061952
7425684,9271508992,24696061952
7431577,9564061696,24696061952
7437508,9537847296,24696061952
7443425,9660530688,24696061952
7449373,9949937664,24696061952
7455306,10232004608,24696061952
7461220,10737418240,24696061952
7467131,10737418240,24696061952
7473058,11811160064,24696061952
7478926,11811160064,24696061952
7484809,11811160064,24696061952
7490713,12884901888,24696061952
7496759,9421455360,24696061952
7502682,10046406656,24696061952
7508566,10255073280,24696061952
7514518,10737418240,24696061952
7520449,10737418240,24696061952
7526320,11811160064,24696061952
7532214,11811160064,24696061952
7538096,12884901888,24696061952
7543978,12884901888,24696061952
7549832,12884901888,24696061952
7555716,13958643712,24696061952
7561583,15032385536,24696061952
7567625,9603907584,24696061952
7573574,9862905856,24696061952
7579481,10161750016,24696061952
7585469,10737418240,24696061952
7591421,10737418240,24696061952
7597347,10737418240,24696061952
7603298,11811160064,24696061952
7609170,11811160064,24696061952
7615088,12884901888,24696061952
7620996,12884901888,24696061952
7626924,13958643712,24696061952
7632846,13958643712,24696061952
7638782,15032385536,24696061952
7644669,10737418240,24696061952
7650654,10020192256,24696061952
7656567,10108272640,24696061952
7662481,10257170432,24696061952
7668423,10737418240,24696061952
7674316,10737418240,24696061952
7680218,11811160064,24696061952
7686106,11811160064,24696061952
7692065,11811160064,24696061952
7697955,12884901888,24696061952
7703924,12884901888,24696061952
7709844,12884901888,24696061952
7715803,12884901888,24696061952
7721683,12884901888,24696061952
7727533,12884901888,24696061952
7733373,13958643712,24696061952
7739474,9782165504,24696061952
7745374,10082058240,24696061952
7751280,10448011264,24696061952
7757180,10737418240,24696061952
7763097,11811160064,24696061952
7768975,11811160064,24696061952
7774853,11811160064,24696061952
7780699,12884901888,24696061952
