timestamp_ms,bytes_read,bytes_written
5222685,3616447590400,891155963904
5228563,3621615243264,891961839616
5234439,3627457110016,892780728320
5240339,3632135495680,893414105088
5246237,3636905541632,895673401344
5252147,3642260365312,896527384576
5258009,3647824654336,896753958912
5263884,3652926533632,896753958912
5269830,3655891001344,896753958912
5275663,3659247755264,897834999808
5281565,3663906783232,897834999808
5287430,3668994854912,897834999808
5293290,3673252134912,897834999808
5299198,3677497286656,898070126592
5305168,3681645355008,899228332032
5311071,3686741430272,899228332032
5316951,3691124224000,899228332032
5322795,3695879991296,899228332032
5328645,3700715343872,899628683264
5334632,3704889335808,901018124288
5340412,3709457760256,901728632832
5346215,3713954623488,902532222976
5352044,3718622150656,903340511232
5357930,3723571924992,903665852416
5363720,3729847189504,904789147648
5369618,3736537255936,906521616384
5375451,3743204323328,906682908672
5381318,3748476493824,906682908672
5387154,3753671798784,906682908672
5392970,3758583500800,906682908672
5398833,3763397746688,906970701824
5404779,3767990792192,907981635584
5410612,3772910862336,908065587200
5416455,3778337787904,908065587200
5422376,3783444721664,908065587200
5428179,3788481634304,908065587200
5434037,3792411017216,909312610304
5439928,3797056856064,909312610304
5445792,3800667463680,909312610304
5451662,3804785459200,909312610304
5457532,3808976805888,909312610304
5463422,3812935950336,909312610304
5469278,3816828649472,909312610304
5475233,3817589776384,910122205184
5481092,3821606240256,911362973696
5486979,3826917142528,912116031488
5492794,3831807590400,912897671168
5498686,3836285050880,913286668288
5504491,3840370741248,915520126976
5510348,3845246697472,916537135104
5516215,3851316490240,916604100608
5522066,3855899729920,916604100608
5527886,3859739389952,917681090560
5533745,3864385642496,917681090560
5539625,3868855455744,917681090560
5545436,3874420862976,917694435328
5551337,3878676938752,919364816896
5557158,3884259897344,919769903104
5562994,3889370513408,920073703424
5568827,3894628937728,920073703424
5574704,3898762891264,921709514752
5580524,3903918493696,922449633280
5586389,3908166692864,923236413440
5592301,3912663851008,924025126912
5598171,3917810040832,924406386688
5603954,3921981128704,925729226752
5609845,3927160434688,927375675392
5615704,3933597978624,927910920192
5621541,3938943070208,927929077760
5627385,3944565043200,927929077760
5633189,3951046066176,927929077760
5639029,3955778519040,928813060096
5644853,3961488510976,929314340864
5650699,3967180181504,929560543232
5656494,3972675325952,929560543232
5662240,3978774278144,929560543232
5668053,3983946506240,930786574336
5673861,3990479843328,930786574336
5679724,3996071690240,930786574336
5685572,4000604737536,930786574336
5691453,4004219318272,932203950080
5697316,4008734822400,932979875840
5703196,4013336932352,933779283968
5709040,4018765844480,934613159936
5714966,4022969368576,935492243456
5720794,4027863797760,937670430720
5726661,4033571581952,938690191360
5732593,4039090192384,938839478272
5738439,4043105423360,939568857088
5744326,4048350220288,939874512896
5750137,4054288728064,939874512896
5755927,4060478013440,939874512896
5761803,4065366949888,939874512896
5767643,4069863792640,941296996352
5773580,4071621181440,941381963776
5779467,4077934583808,941381963776
5785332,4083361169408,941381963776
5791253,4089514455040,941381963776
5797077,4095491760128,941382004736
5802940,4099173896192,943088463872
5808799,4104577683456,943863382016
5814585,4110078189568,944582332416
5820417,4115875045376,945405722624
5826252,4121749028864,945951272960
5832052,4126842003456,945951272960
5837903,4132030050304,945951272960
5843677,4136517033984,947852619776
5849599,4141835276288,949221847040
5855444,4147220901888,949618061312
5861311,4151962193920,949639114752
5867151,4156231692288,949639114752
5872997,4161781944320,949639114752
5878880,4165674696704,950599401472
5884742,4170795610112,951048863744
5890630,4176285937664,951291674624
5896468,4181700567040,951291674624
5902334,4187056099328,951291674624
5908129,4192470138880,951291674624
5913986,4196329295872,952594419712
5919807,4201195307008,952594419712
5925649,4206172590080,952594419712
5931457,4211354034176,952594419712
5937290,4216711032832,952962904064
5943240,4221679497216,954653483008
5949064,4226403987456,955400167424
5954961,4232019972096,956166447104
5960811,4237948887040,956920975360
5966623,4244168962048,956920975360
5972472,4249554374656,956920975360
5978314,4253994483712,958914936832
5984204,4259704446976,960363237376
5990073,4265135661056,960774025216
5995957,4270448246784,960851263488
6001823,4275788636160,960851263488
6007730,4280650530816,961862422528
6013571,4286290829312,961862422528
6019419,4291087650816,961862422528
